visittype,form_id,form_name,form_desc,form_type,show_intake,cat_id,cat_name,cat_description,cat_level,parent_id,cat_ord,cat_sibling_ord,cat_loinc_code,num_signatures,pgbreak,cat_snomed_cid,cat_ancestor_id,question_id,q_ord,q_format,question_text,can_be_hidden,is_hidden,is_required,is_formrequired,loinc_code,q_external_id,q_snomed_cid,is_goldenthread,include_in_summary,is_print_label,client_field,control_alignment,is_line_break,label_x,control_x,after_spacing,after_line,is_label_bold,label_large,question_validation,start_range,end_range,max_len,field_len,default_answer,multi_line,line_spacing,calc,calc_formula,is_lookup,lookup_table,lookup_where,lookup_id,lookup_desc,lookup_sql,q_is_notificationtrigger,hl7_mapping,q_units,q_ancestor_id,answer_id,a_ord,answer,answer_text_long,a_external_id,a_loinc_code,a_snomed_cid,is_notes,is_default,a_is_notificationtrigger,can_add_visit_types,add_visit_types,show_question_ids,weight,a_units,hl7_code,a_ancestor_id,form_ver_id
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614346,10,NPB,4. Having trouble relaxing,True,True,0,False,GAD-Q4,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614346,1136691,4,3 - Nearly every day,,,,,False,False,False,,,,,,,1136691,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614347,11,NPB,5. Being so restless that it is hard to sit still,True,True,0,False,GAD-Q5,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614347,1136696,1,0 - Not at all,,,,,False,False,False,,,,,,,1136696,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614347,11,NPB,5. Being so restless that it is hard to sit still,True,True,0,False,GAD-Q5,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614347,1136697,2,1 - Several Days,,,,,False,False,False,,,,,,,1136697,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614347,11,NPB,5. Being so restless that it is hard to sit still,True,True,0,False,GAD-Q5,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614347,1136698,3,2 - More than half the days,,,,,False,False,False,,,,,,,1136698,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614347,11,NPB,5. Being so restless that it is hard to sit still,True,True,0,False,GAD-Q5,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614347,1136695,4,3 - Nearly every day,,,,,False,False,False,,,,,,,1136695,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614348,12,NPB,6. Becoming easily annoyed or irritable,True,True,0,False,GAD-Q6,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614348,1136700,1,0 - Not at all,,,,,False,False,False,,,,,,,1136700,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614348,12,NPB,6. Becoming easily annoyed or irritable,True,True,0,False,GAD-Q6,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614348,1136701,2,1 - Several Days,,,,,False,False,False,,,,,,,1136701,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614348,12,NPB,6. Becoming easily annoyed or irritable,True,True,0,False,GAD-Q6,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614348,1136702,3,2 - More than half the days,,,,,False,False,False,,,,,,,1136702,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614348,12,NPB,6. Becoming easily annoyed or irritable,True,True,0,False,GAD-Q6,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614348,1136699,4,3 - Nearly every day,,,,,False,False,False,,,,,,,1136699,6851
,1430,* 2026 Anxiety Screening,,0,False,70333,Anxiety Screening,,2,70332,,1,,0,False,,70333,614349,13,NPB,7. Feeling afraid as if something awful might happen,True,True,0,False,GAD-Q7,,,False,False,False,,R,True,1,1,1,False,True,False,,,,,,,,,,,False,,,,,,False,,,614349,1136704,1,0 - Not at all,,,,,False,False,False,,,,,,,1136704,6851
